
*******   STEP   1      *** NEFF=10 CALCULATION                
    8   0.944E-04   0.116E-02   0.192E-03
    9   0.713E-04   0.880E-03   0.192E-03

*******   STEP  25      *** NEFF=10 CALCULATION                
    1   0.428E-02   0.997E-02   0.871E-02
    2   0.160E-02   0.110E-01   0.379E-02
    3   0.687E-03   0.628E-02   0.143E-02
    4   0.270E-03   0.416E-02   0.883E-03
    5   0.235E-03   0.301E-02   0.625E-03
    6   0.156E-03   0.208E-02   0.464E-03
    7   0.114E-03   0.153E-02   0.274E-03
    8   0.927E-04   0.116E-02   0.191E-03
    9   0.708E-04   0.882E-03   0.190E-03

*******   STEP  26      *** NEFF=10 CALCULATION                
    1   0.411E-02   0.936E-02   0.820E-02
    2   0.149E-02   0.105E-01   0.352E-02
    3   0.634E-03   0.598E-02   0.137E-02
    4   0.253E-03   0.403E-02   0.865E-03
    5   0.224E-03   0.293E-02   0.600E-03
    6   0.149E-03   0.205E-02   0.440E-03
    7   0.109E-03   0.152E-02   0.266E-03
    8   0.905E-04   0.117E-02   0.190E-03
    9   0.708E-04   0.888E-03   0.183E-03

*******   STEP  27      *** NEFF=10 CALCULATION                
    1   0.395E-02   0.878E-02   0.773E-02
    2   0.128E-02   0.995E-02   0.365E-02
    3   0.660E-03   0.576E-02   0.143E-02
    4   0.268E-03   0.394E-02   0.843E-03
    5   0.229E-03   0.283E-02   0.608E-03
    6   0.143E-03   0.198E-02   0.484E-03
    7   0.108E-03   0.150E-02   0.286E-03
    8   0.937E-04   0.115E-02   0.186E-03
    9   0.713E-04   0.878E-03   0.200E-03

*******   STEP  28      *** NEFF=10 CALCULATION                
    1   0.380E-02   0.826E-02   0.730E-02
    2   0.120E-02   0.955E-02   0.341E-02
    3   0.615E-03   0.549E-02   0.136E-02
    4   0.253E-03   0.380E-02   0.826E-03
    5   0.219E-03   0.274E-02   0.581E-03
    6   0.137E-03   0.194E-02   0.455E-03
    7   0.103E-03   0.148E-02   0.274E-03
    8   0.911E-04   0.115E-02   0.185E-03
    9   0.711E-04   0.882E-03   0.193E-03

*******   STEP  29      *** NEFF=10 CALCULATION                
    1   0.365E-02   0.777E-02   0.688E-02
    2   0.114E-02   0.918E-02   0.318E-02
    3   0.576E-03   0.526E-02   0.131E-02
    4   0.240E-03   0.369E-02   0.814E-03
    5   0.210E-03   0.268E-02   0.559E-03
    6   0.132E-03   0.190E-02   0.430E-03
    7   0.989E-04   0.147E-02   0.265E-03
    8   0.891E-04   0.116E-02   0.185E-03
    9   0.711E-04   0.887E-03   0.186E-03

*******   STEP  30      *** NEFF=10 CALCULATION                
    1   0.351E-02   0.732E-02   0.650E-02
    2   0.108E-02   0.885E-02   0.299E-02
    3   0.543E-03   0.507E-02   0.127E-02
    4   0.230E-03   0.359E-02   0.804E-03
    5   0.203E-03   0.262E-02   0.541E-03
    6   0.128E-03   0.188E-02   0.409E-03
    7   0.954E-04   0.147E-02   0.258E-03
    8   0.875E-04   0.116E-02   0.186E-03
    9   0.712E-04   0.894E-03   0.182E-03

*******   STEP  31      *** NEFF=10 CALCULATION                
    1   0.337E-02   0.690E-02   0.614E-02
    2   0.102E-02   0.855E-02   0.281E-02
    3   0.515E-03   0.491E-02   0.124E-02
    4   0.222E-03   0.351E-02   0.797E-03
    5   0.197E-03   0.257E-02   0.526E-03
    6   0.123E-03   0.186E-02   0.391E-03
    7   0.923E-04   0.147E-02   0.253E-03
    8   0.865E-04   0.117E-02   0.188E-03
    9   0.714E-04   0.902E-03   0.178E-03

*******   STEP  32      *** NEFF=10 CALCULATION                
    1   0.325E-02   0.652E-02   0.581E-02
    2   0.974E-03   0.828E-02   0.266E-02
    3   0.492E-03   0.476E-02   0.121E-02
    4   0.215E-03   0.343E-02   0.790E-03
    5   0.192E-03   0.252E-02   0.515E-03
    6   0.120E-03   0.185E-02   0.377E-03
    7   0.898E-04   0.148E-02   0.250E-03
    8   0.858E-04   0.118E-02   0.190E-03
    9   0.716E-04   0.912E-03   0.177E-03

*******   STEP  33      *** NEFF=10 CALCULATION                
    1   0.312E-02   0.616E-02   0.550E-02
    2   0.932E-03   0.803E-02   0.252E-02
    3   0.473E-03   0.464E-02   0.118E-02
    4   0.210E-03   0.336E-02   0.785E-03
    5   0.187E-03   0.249E-02   0.507E-03
    6   0.116E-03   0.184E-02   0.366E-03
    7   0.878E-04   0.149E-02   0.250E-03
    8   0.855E-04   0.120E-02   0.194E-03
    9   0.719E-04   0.924E-03   0.176E-03

*******   STEP  34      *** NEFF=10 CALCULATION                
    1   0.301E-02   0.584E-02   0.521E-02
    2   0.894E-03   0.780E-02   0.240E-02
    3   0.458E-03   0.453E-02   0.116E-02
    4   0.204E-03   0.331E-02   0.781E-03
    5   0.183E-03   0.247E-02   0.501E-03
    6   0.113E-03   0.184E-02   0.359E-03
    7   0.862E-04   0.150E-02   0.251E-03
    8   0.855E-04   0.121E-02   0.198E-03
    9   0.722E-04   0.937E-03   0.178E-03

*******   STEP  35      *** NEFF=10 CALCULATION                
    1   0.290E-02   0.553E-02   0.495E-02
    2   0.861E-03   0.759E-02   0.229E-02
    3   0.446E-03   0.444E-02   0.115E-02
    4   0.200E-03   0.326E-02   0.777E-03
    5   0.178E-03   0.245E-02   0.498E-03
    6   0.109E-03   0.185E-02   0.355E-03
    7   0.851E-04   0.152E-02   0.254E-03
    8   0.857E-04   0.123E-02   0.203E-03
    9   0.725E-04   0.952E-03   0.180E-03

*******   STEP  36      *** NEFF=10 CALCULATION                
    1   0.280E-02   0.526E-02   0.470E-02
    2   0.832E-03   0.740E-02   0.219E-02
    3   0.435E-03   0.435E-02   0.113E-02
    4   0.195E-03   0.321E-02   0.774E-03
    5   0.174E-03   0.243E-02   0.497E-03
    6   0.106E-03   0.186E-02   0.353E-03
    7   0.843E-04   0.154E-02   0.258E-03
    8   0.860E-04   0.125E-02   0.209E-03
    9   0.727E-04   0.970E-03   0.184E-03

*******   STEP  37      *** NEFF=10 CALCULATION                
    1   0.201E-02   0.225E-02   0.480E-02
    2   0.741E-03   0.842E-02   0.269E-02
    3   0.412E-03   0.541E-02   0.167E-02
    4   0.220E-03   0.420E-02   0.121E-02
    5   0.211E-03   0.323E-02   0.790E-03
    6   0.148E-03   0.243E-02   0.546E-03
    7   0.120E-03   0.192E-02   0.395E-03
    8   0.109E-03   0.151E-02   0.303E-03
